"";"activated.genes";"repressed.genes";"DEGs"
"1";"AT1G33960";"AT5G06290";"AT1G33960"
"2";"AT1G19610";"AT3G27690";"AT1G19610"
"3";"AT1G68290";"AT4G34410";"AT1G68290"
"4";"AT2G33380";"AT3G11630";"AT2G33380"
"5";"AT3G50770";"AT1G12610";"AT3G50770"
"6";"ATCG00065";"AT2G34430";"ATCG00065"
"7";"AT3G21720";"AT5G38420";"AT3G21720"
"8";"AT2G38530";"AT3G01500";"AT2G38530"
"9";"AT5G55450";"AT1G33760";"AT5G55450"
"10";"AT2G18660";"AT1G30135";"AT2G18660"
"11";"AT4G28140";"AT1G80840";"AT4G28140"
"12";"AT3G57260";"AT4G31940";"AT3G57260"
"13";"AT2G47780";"AT3G05945";"AT2G47780"
"14";"AT2G43510";"AT2G34600";"AT2G43510"
"15";"AT2G02990";"AT1G29920";"AT2G02990"
"16";"AT1G05680";"AT5G38430";"AT1G05680"
"17";"AT2G37870";"AT5G45340";"AT2G37870"
"18";"AT3G47480";"AT5G38410";"AT3G47480"
"19";"AT5G47330";"AT1G65390";"AT5G47330"
"20";"AT4G35720";"AT1G29910";"AT4G35720"
"21";"ATCG00660";"AT5G54270";"ATCG00660"
"22";"AT3G59940";"AT5G52020";"AT3G59940"
"23";"AT4G37990";"AT2G44840";"AT4G37990"
"24";"AT5G10760";"AT3G54890";"AT5G10760"
"25";"AT2G20880";"AT1G72520";"AT2G20880"
"26";"AT4G11890";"AT2G05070";"AT4G11890"
"27";"AT4G04125";"AT2G05100";"AT4G04125"
"28";"AT1G26770";"AT1G76650";"AT1G26770"
"29";"AT5G14180";"AT5G51720";"AT5G14180"
"30";"AT1G61800";"AT3G48520";"AT1G61800"
"31";"AT1G02930";"AT3G08940";"AT1G02930"
"32";"AT5G24660";"AT3G44870";"AT5G24660"
"33";"AT1G07985";"AT1G21500";"AT1G07985"
"34";"AT2G29350";"AT4G29780";"AT2G29350"
"35";"AT4G33467";"AT5G48490";"AT4G33467"
"36";"AT4G37095";"AT2G25460";"AT4G37095"
"37";"AT5G01815";"AT5G28630";"AT5G01815"
"38";"AT5G57240";"AT4G24570";"AT5G57240"
"39";"AT1G43910";"AT3G16670";"AT1G43910"
"40";"AT2G21640";"AT3G47470";"AT2G21640"
"41";"AT2G17040";"AT1G52230";"AT2G17040"
"42";"AT1G52400";"AT2G08665";"AT1G52400"
"43";"AT5G24200";"AT3G63140";"AT5G24200"
"44";"AT3G49580";"AT5G38700";"AT3G49580"
"45";"AT1G65500";"AT1G35140";"AT1G65500"
"46";"AT3G05640";"AT2G24600";"AT3G05640"
