"";"activated.genes";"repressed.genes";"DEGs"
"1";"AT4G10250";"AT5G01210";"AT4G10250"
"2";"AT5G37670";"AT5G06290";"AT5G37670"
"3";"AT1G53540";"AT2G37920";"AT1G53540"
"4";"AT4G25200";"AT3G11630";"AT4G25200"
"5";"AT1G52560";"AT1G07520";"AT1G52560"
"6";"AT5G12020";"AT3G05945";"AT5G12020"
"7";"AT5G12030";"AT2G27690";"AT5G12030"
"8";"AT2G29500";"AT3G44870";"AT2G29500"
"9";"AT3G46230";"AT5G38700";"AT3G46230"
"10";"AT4G27670";"AT1G65390";"AT4G27670"
"11";"AT1G59860";"AT1G76650";"AT1G59860"
"12";"AT1G71000";"AT2G34600";"AT1G71000"
"13";"AT1G16030";"AT1G30135";"AT1G16030"
"14";"AT1G54050";"AT3G44860";"AT1G54050"
"15";"AT2G32120";"AT5G28610";"AT2G32120"
"16";"AT1G07400";"AT3G16860";"AT1G07400"
"17";"AT5G59720";"AT3G20600";"AT5G59720"
"18";"AT2G26150";"AT5G51720";"AT2G26150"
"19";"AT2G46240";"AT3G07195";"AT2G46240"
"20";"AT5G25450";"AT4G01360";"AT5G25450"
"21";"AT1G26800";"AT2G24850";"AT1G26800"
"22";"AT1G74310";"AT1G35140";"AT1G74310"
"23";"AT5G35320";"AT5G01040";"AT5G35320"
"24";"AT5G51440";"AT1G16370";"AT5G51440"
"25";"AT5G54165";"AT5G01600";"AT5G54165"
"26";"AT2G47180";"AT2G25460";"AT2G47180"
"27";"AT4G12400";"AT3G02840";"AT4G12400"
"28";"AT1G24580";"AT5G39580";"AT1G24580"
"29";"AT2G20560";"AT2G22860";"AT2G20560"
"30";"AT5G01815";"AT1G63030";"AT5G01815"
"31";"AT5G64510";"AT2G22760";"AT5G64510"
"32";"AT5G24660";"AT2G35710";"AT5G24660"
"33";"AT3G08970";"AT1G02400";"AT3G08970"
"34";"AT2G41240";"AT3G49160";"AT2G41240"
"35";"AT1G30070";"AT1G72520";"AT1G30070"
"36";"AT1G17870";"AT1G47600";"AT1G17870"
"37";"AT5G52640";"AT2G36690";"AT5G52640"
"38";"AT2G19310";"AT4G02200";"AT2G19310"
"39";"AT1G14200";"AT5G54710";"AT1G14200"
"40";"AT4G23493";"AT1G17420";"AT4G23493"
"41";"AT3G09640";"AT5G57010";"AT3G09640"
"42";"AT5G04150";"AT4G31800";"AT5G04150"
"43";"AT3G56970";"AT5G01100";"AT3G56970"
"44";"AT4G28520";"AT1G50750";"AT4G28520"
"45";"AT3G12580";"AT4G05275";"AT3G12580"
"46";"AT1G03070";"AT2G30040";"AT1G03070"
"47";"AT3G16050";"AT3G47960";"AT3G16050"
"48";"AT5G03285";"AT5G52020";"AT5G03285"
"49";"AT4G21320";"AT1G24330";"AT4G21320"
"50";"AT1G07367";"AT2G26370";"AT1G07367"
"51";"AT3G56980";"AT5G58750";"AT3G56980"
"52";"AT1G07373";"AT5G24070";"AT1G07373"
"53";"AT5G03990";"AT1G15010";"AT5G03990"
"54";"AT1G66080";"AT5G10100";"AT1G66080"
"55";"AT1G72660";"AT3G48520";"AT1G72660"
"56";"AT3G17611";"AT1G57990";"AT3G17611"
"57";"AT4G24415";"AT5G22570";"AT4G24415"
"58";"AT4G27150";"AT2G40300";"AT4G27150"
"59";"AT3G09350";"AT3G09940";"AT3G09350"
"60";"AT1G67360";"AT1G09950";"AT1G67360"
"61";"AT4G32208";"AT3G55840";"AT4G32208"
"62";"AT3G02480";"AT1G51470";"AT3G02480"
"63";"AT3G24500";"AT2G34930";"AT3G24500"
"64";"AT2G47780";"AT4G17615";"AT2G47780"
"65";"AT3G63350";"AT3G01830";"AT3G63350"
"66";"AT5G07330";"AT1G32970";"AT5G07330"
"67";"AT2G25140";"AT1G30730";"AT2G25140"
"68";"AT4G36700";"AT3G54020";"AT4G36700"
"69";"AT1G13609";"AT4G04075";"AT1G13609"
"70";"AT3G11640";"AT2G41640";"AT3G11640"
"71";"AT5G54740";"AT5G66210";"AT5G54740"
"72";"AT1G21550";"AT4G22610";"AT1G21550"
"73";"AT5G48570";"AT4G35985";"AT5G48570"
"74";"AT5G09590";"AT4G39675";"AT5G09590"
"75";"AT5G12110";"AT2G36885";"AT5G12110"
"76";"AT5G44120";"AT4G21840";"AT5G44120"
"77";"AT1G47400";"AT1G79310";"AT1G47400"
"78";"AT5G47610";"AT1G61890";"AT5G47610"
"79";"AT1G19610";"AT5G28630";"AT1G19610"
"80";"AT3G10020";"AT2G35290";"AT3G10020"
"81";"AT1G47395";"AT1G59740";"AT1G47395"
"82";"AT3G51910";"AT4G32800";"AT3G51910"
"83";"AT1G44414";"AT5G13220";"AT1G44414"
"84";"AT2G21640";"AT1G28480";"AT2G21640"
"85";"AT4G27160";"AT2G02310";"AT4G27160"
"86";"AT4G06195";"AT1G76640";"AT4G06195"
"87";"AT4G15420";"AT4G00080";"AT4G15420"
"88";"AT3G22840";"AT2G17660";"AT3G22840"
"89";"AT2G30766";"AT4G30280";"AT2G30766"
"90";"AT3G59940";"AT5G16360";"AT3G59940"
"91";"AT3G49570";"AT1G33760";"AT3G49570"
"92";"AT1G12030";"AT2G01300";"AT1G12030"
"93";"AT1G56430";"AT5G19110";"AT1G56430"
"94";"AT1G62420";"AT1G75000";"AT1G62420"
"95";"AT3G07090";"AT1G58290";"AT3G07090"
"96";"AT5G05220";"AT1G17380";"AT5G05220"
"97";"AT1G58170";"AT1G17750";"AT1G58170"
"98";"AT2G14247";"AT5G49280";"AT2G14247"
"99";"AT5G05410";"AT1G52050";"AT5G05410"
"100";"AT5G05250";"AT1G66760";"AT5G05250"
"101";"AT1G20640";"AT4G24340";"AT1G20640"
"102";"AT4G39361";"AT3G54000";"AT4G39361"
"103";"AT5G09570";"AT3G25190";"AT5G09570"
"104";"AT1G56600";"AT4G01950";"AT1G56600"
"105";"AT5G10695";"AT2G36650";"AT5G10695"
"106";"AT1G33960";"AT1G28380";"AT1G33960"
"107";"AT5G58070";"AT3G19240";"AT5G58070"
"108";"AT5G23240";"AT5G54720";"AT5G23240"
"109";"AT3G18290";"AT4G36950";"AT3G18290"
"110";"AT2G21820";"AT3G17690";"AT2G21820"
"111";"AT5G15450";"AT2G27500";"AT5G15450"
"112";"AT1G12060";"AT5G48920";"AT1G12060"
"113";"AT1G67105";"AT2G18690";"AT1G67105"
"114";"AT1G07350";"AT4G25100";"AT1G07350"
"115";"AT5G13170";"AT2G03240";"AT5G13170"
"116";"AT5G67370";"AT3G51450";"AT5G67370"
"117";"AT4G26270";"AT1G08630";"AT4G26270"
"118";"AT4G12410";"AT3G56090";"AT4G12410"
"119";"AT5G55450";"AT1G76410";"AT5G55450"
"120";"AT1G08847";"AT1G02810";"AT1G08847"
