"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AT5G06290",-6.04175373431182,5.36164311341842,-10.7315377865895,1.18892124130672e-07,6.5395115203598e-06,8.07297939821373
"AT3G27690",-5.66878546536818,8.0567455001162,-18.2394240736058,2.36958413456121e-10,1.64339289144393e-07,14.2753675669402
"AT1G79850",5.33987424195614,4.35097247623654,1.5700637005575,0.141469953958901,0.312072225096252,-6.09279831238192
"AT4G34410",-5.22662217028818,3.7400675766483,-4.39669670472339,0.000799534532459241,0.00535627776050485,-1.04679572408411
"AT1G33960",5.15889250023953,1.64614776656043,14.3397466731232,4.16069454537095e-09,7.71797084791889e-07,11.4687468739402
"AT3G11630",-5.15571106075058,7.59655767726322,-8.79887647244752,1.07460212245159e-06,3.2722538495501e-05,5.80371113574636
"AT1G12610",-5.15011611374761,2.52346248685062,-6.90630117290504,1.35373363939278e-05,0.000218091936124549,3.17424593372407
"AT1G09927",-5.13519876743737,6.83375629200129,-1.89459810441066,0.0816182041739636,0.211172932904601,-5.60675939089834
"AT2G34430",-5.06627294958244,10.0618023451714,-12.622904473719,1.84892618616197e-08,1.99035388427069e-06,9.9695792893077
"AT5G38420",-5.02541145942816,11.1769407502997,-19.1885508625695,1.28618637436435e-10,1.20810985000918e-07,14.8579011564767
"AT3G01500",-4.93626900891578,9.60338783389525,-25.0000441804234,5.1716234970933e-12,1.88666571422294e-08,17.7983833554015
"AT1G19610",4.74957456490386,2.776705261018,19.0829824060321,1.37468888752399e-10,1.21986919578581e-07,14.7947748450162
"AT1G33760",-4.72743714647784,2.29463457431314,-9.74504158595902,3.50403924897409e-07,1.42386287947483e-05,6.96154306782361
"AT1G68290",4.62987839729044,1.62377522756605,18.8045584109475,1.64116287923134e-10,1.34710752034506e-07,14.6263194537447
"AT1G30135",-4.55563017830638,1.5933807265048,-8.47141453776134,1.61759975817463e-06,4.3495888116128e-05,5.38006971727696
"AT1G80840",-4.52531351884605,5.00598343683646,-5.5943219083924,0.000102448857595514,0.0010488737981031,1.07287879043274
"AT4G31940",-4.49437363967592,4.86283592399914,-7.11011318645901,1.00925462196984e-05,0.000174404510542819,3.47941568451875
"AT3G05945",-4.47352544853463,3.01257459849536,-6.29275900918753,3.38712405672771e-05,0.000443949876864435,2.22132459308414
"AT2G33380",4.36137627619621,1.45202492797035,14.2154557193066,4.60987312052e-09,8.27081771399088e-07,11.3664160905343
"AT2G34600",-4.34383910510128,2.54067456101819,-8.93199187116791,9.12938864749822e-07,2.90169620003203e-05,5.97244619162339
"AT1G29920",-4.33699525373144,11.4322929901546,-17.0035275102201,5.49808039304507e-10,2.37524307295854e-07,13.4629113223255
"AT3G50770",4.2177832571369,2.02173743896232,11.6235476915383,4.78800386844372e-08,3.53268609017107e-06,9.00296884879804
"AT5G38430",-4.15759169792638,10.1400122875829,-15.8099804415534,1.31007157294546e-09,3.74031130039291e-07,12.6138401296877
"ATCG00065",4.14825340640637,1.85894441893895,13.9552760713433,5.72828903003802e-09,9.30577937457698e-07,11.1492260768092
"AT5G45340",-4.14646550064221,3.81634095649057,-5.29581340382351,0.000167874543876171,0.00153276554479598,0.561528175123165
"AT3G21720",4.13809251431974,5.96801180542827,9.3334566698849,5.64432583963322e-07,2.05227187478048e-05,6.46956625640297
"AT5G38410",-4.1354378489081,12.2494284491369,-19.1998068238856,1.27711873528111e-10,1.20810985000918e-07,14.8646079205248
"AT1G65390",-4.10421269365016,2.86110193537225,-14.9703739174337,2.50298905513846e-09,5.47776742731295e-07,11.9742821247371
"AT1G29910",-4.10162724099839,10.8696407409048,-18.5467370815401,1.93804058419457e-10,1.44617469320137e-07,14.4677356670843
"AT5G54270",-4.08747837437053,10.9143654278965,-20.7199610226488,5.08277924306296e-11,7.25577786467331e-08,15.7300003156235
"AT5G52020",-4.05994032215582,2.73415023381641,-8.60423374540283,1.36844790679176e-06,3.85667383035998e-05,5.55338465492293
"AT2G38530",4.03290113284044,6.63140677111332,12.2374102193193,2.64780750762356e-08,2.40818459550704e-06,9.60558708124709
"AT2G44840",-4.02990286754956,3.13342381078777,-5.32579852279628,0.000159660050007123,0.0014793528813851,0.613434808386347
"AT5G55450",3.97320629587852,1.65324315692766,14.3236571279605,4.21609035836697e-09,7.77679183911589e-07,11.4555512522513
"AT2G18660",3.95068563262169,0.922155573104318,19.7003398583427,9.36011117260656e-11,1.05972596596618e-07,15.1582712753205
"AT3G54890",-3.93069683892947,10.7858525038163,-16.0466215748169,1.09775175439258e-09,3.36629366463618e-07,12.7875868033493
"AT1G72520",-3.90251691137078,2.79212132136713,-8.63452920020157,1.31757085726808e-06,3.76827560598284e-05,5.59263133048998
"AT4G28140",3.87341925360144,0.999824445149467,32.1453300957196,2.36921069005324e-13,1.55576589173036e-09,20.3670173771679
"AT2G05070",-3.86177229186258,9.5759173720218,-15.69864458661,1.42490961056735e-09,3.94688547619442e-07,12.5311293711941
"AT2G05100",-3.8510973520937,9.50511018944669,-16.4279937657525,8.29661615567276e-10,2.96089998086091e-07,13.0618657285656
"AT1G76650",-3.84944740734195,4.27153783398519,-5.31080488351292,0.00016371351787325,0.00150669942043472,0.587494560279767
"AT3G57260",3.82863684484363,0.96283158528518,13.5907898630687,7.81342844886043e-09,1.12516796605892e-06,10.8379916996057
"AT5G51720",-3.74347092932514,5.97510255302941,-10.8953297771228,1.00145630786448e-07,5.89418485426754e-06,8.24883473183007
"AT2G47780",3.72316523457344,2.91163390982113,8.95775906297636,8.84763504231629e-07,2.84519492012116e-05,6.00488041857783
"AT3G48520",-3.7220192170421,3.25276257682268,-7.49846236027113,5.85248049863912e-06,0.00011547745926191,4.04560413029253
"AT3G08940",-3.71748248367449,9.61297943689843,-15.6372963861164,1.49278113215533e-09,4.01741663213572e-07,12.4852863642868
"AT2G43510",3.70599087287938,4.69201415055813,14.1046465850681,5.05448127662618e-09,8.598641645361e-07,11.2744133218674
"AT3G44870",-3.69667760388519,1.33823881297052,-9.35459569541062,5.50563862034422e-07,2.01523559444551e-05,6.49526274519256
"AT1G21500",-3.68465297654057,7.27133861941536,-17.0349374684378,5.37799324098833e-10,2.37524307295854e-07,13.4843672599911
"AT2G02990",3.67362938609088,2.36197999797599,12.8570359939295,1.4934525437763e-08,1.73266881165397e-06,10.1854713800937
"AT1G05680",3.66201823456161,3.25591709624404,6.16633273472059,4.11772398410385e-05,0.000515429781052542,2.01848118043518
"AT4G29780",-3.64732985361509,5.11074276442589,-3.9089089259763,0.00194345100016573,0.0108463924338673,-1.95391502972545
"AT2G37870",3.64652233204166,3.44647005795039,8.92549075421437,9.20198077399988e-07,2.91629956325037e-05,5.96425134903241
"AT5G48490",-3.63322833575325,5.53500267171453,-9.62647240838768,4.01332450125705e-07,1.57807764490746e-05,6.82159871841501
"AT3G47480",3.63002242221596,1.03672779727729,16.2075848493441,9.74676197767642e-10,3.1656960064516e-07,12.904201243509
"AT2G25460",-3.62077296063134,2.46055200338268,-7.38242425974099,6.87380052532866e-06,0.000130455198062495,3.87850205932052
