"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT4G10250";5.38827639851372;1.52543025523891;10.1537328413712;2.21651137533964e-07;0.000186601840991094;7.52730619468195
"AT5G37670";5.26269569919482;2.78548255171676;9.81382004547882;3.24070797689653e-07;0.000247446895361497;7.14535521258648
"AT1G53540";5.04346951552812;2.75733791683692;7.23494267725296;8.45342168135445e-06;0.00161366973292971;3.82774403283661
"AT4G25200";4.79953753699069;2.94959350701498;7.35115908737698;7.18030496636876e-06;0.00149204680490577;3.99495208448746
"AT1G52560";4.67822415240445;1.89855512961192;10.9623775010421;9.34099016566018e-08;0.00015484400322903;8.39137377007156
"AT5G12020";4.6591079560708;2.88327375190057;8.12587031224671;2.5223107135568e-06;0.000781273845832173;5.06438604579137
"AT5G12030";4.62144157725289;3.29963281541306;6.21008150768746;3.84765114790686e-05;0.00402324618277789;2.27267977135317
"AT2G29500";4.53722968859495;3.79666188346246;8.96193743487432;8.80282903347803e-07;0.00043402318135922;6.13528609016011
"AT3G46230";4.49766035201535;3.45298786863329;6.34328650350051;3.13470125829542e-05;0.00354902229012461;2.48313317399897
"AT4G27670";4.45218790092553;0.998761774001863;11.3799015820506;6.10188614810141e-08;0.0001313786487928;8.81444308171279
"AT1G59860";4.3808312493589;4.13867761241313;4.94501327618512;0.000304718795746573;0.0144997568416627;0.149645642893492
"AT1G71000";4.3719892419057;1.13211103828921;11.9853742571874;3.36630951532281e-08;9.21050335971614e-05;9.4020255347418
"AT1G16030";4.31273890184261;2.93463163815414;10.6934594689792;1.23768848551826e-07;0.000164728980034101;8.11074714861683
"AT1G54050";4.00516599859774;4.35851338006435;6.20494080900004;3.87839128662751e-05;0.00402972218714687;2.26450732375184
"AT2G32120";3.99025404442237;3.05820645615364;9.49395944338627;4.67783658462092e-07;0.000284421127005294;6.7751898918459
"AT1G07400";3.94169590133332;3.85069468586398;5.68564216275006;8.83033011581874e-05;0.00672682665180225;1.41959121937079
"AT5G59720";3.92713516306845;2.46111743850352;9.35600267022871;5.49653818639533e-07;0.000322263996917711;6.61221576747119
"AT2G26150";3.87885351705162;3.50556507184584;4.30360315449641;0.000945319089259386;0.0302119437949601;-1.00572333854012
"AT2G46240";3.76785680253218;3.40634275238439;8.51612785179304;1.52870508527086e-06;0.000597523500770215;5.57456616092073
"AT5G25450";3.49855139726198;2.6812381830958;8.47114117656933;1.61815990862807e-06;0.000605315413703379;5.51669267304168
"AT1G26800";3.49846700045201;3.97688368220816;9.57874815276249;4.24019793426333e-07;0.000276696172277548;6.87435200109829
"AT1G74310";3.46823411573392;4.0620547672263;7.12058026113996;9.94291683736629e-06;0.00180078314306901;3.66142497691901
"AT5G35320";3.43615453552318;4.43569138959298;8.46188530898281;1.63724907603523e-06;0.000605315413703379;5.50475546585522
